Timestamp,Open,High,Low,Close,Volume
2024-03-13 20:00:00,515.9700,515.9700,515.9700,515.9700,480087
2024-03-13 19:55:00,516.5500,516.5800,516.5000,516.5600,3705
2024-03-13 19:50:00,516.5450,516.6100,516.5200,516.5600,11990
2024-03-13 19:45:00,516.5400,516.6000,516.4900,516.5600,5482
2024-03-13 19:40:00,516.5500,516.5600,516.5000,516.5500,1259
2024-03-13 19:35:00,516.5900,516.6200,516.5400,516.5400,1077
2024-03-13 19:30:00,516.4600,516.5900,516.4600,516.5750,10877
2024-03-13 19:25:00,516.3900,516.4800,516.3600,516.4600,4563
2024-03-13 19:20:00,516.3800,516.4000,516.3600,516.4000,942
2024-03-13 19:15:00,516.3400,516.3900,516.3000,516.3900,1550
2024-03-13 19:10:00,516.4100,516.4300,516.3300,516.3500,5970
2024-03-13 19:05:00,516.3100,516.4500,516.2900,516.4300,1353
2024-03-13 19:00:00,516.2850,516.3200,516.2800,516.3200,3128
2024-03-13 18:55:00,516.2500,516.3300,516.2300,516.2700,4219
2024-03-13 18:50:00,516.3600,516.3600,516.2210,516.2500,780
2024-03-13 18:45:00,516.2490,516.3300,516.2250,516.3250,2146
2024-03-13 18:40:00,516.2200,516.2500,516.1900,516.2350,2111
2024-03-13 18:35:00,516.2200,516.2500,516.1800,516.2150,4748
2024-03-13 18:30:00,515.9700,516.3000,515.9700,516.2200,482503
2024-03-13 18:25:00,516.2400,516.3150,516.2200,516.2850,5979
2024-03-13 18:20:00,516.3100,516.3300,516.2200,516.2400,5394
2024-03-13 18:15:00,516.3000,516.3500,516.2800,516.3250,3192
2024-03-13 18:10:00,516.4500,516.4600,516.3000,516.3390,18418
2024-03-13 18:05:00,516.3200,516.5000,516.3150,516.4350,869
2024-03-13 18:00:00,516.3300,516.4700,516.2600,516.3000,21755
2024-03-13 17:55:00,516.3700,516.4300,516.3200,516.4150,856
2024-03-13 17:50:00,516.3400,516.3800,516.3000,516.3300,3539
2024-03-13 17:45:00,516.3650,516.3800,516.3100,516.3300,1358
2024-03-13 17:40:00,516.3550,516.3800,516.3000,516.3650,4325
2024-03-13 17:35:00,516.3900,516.4400,516.3500,516.3750,6792
2024-03-13 17:30:00,516.3400,516.4500,516.3000,516.4000,5387
2024-03-13 17:25:00,516.3500,516.3500,516.2900,516.3200,2880
2024-03-13 17:20:00,516.3900,516.3900,516.3200,516.3300,5151
2024-03-13 17:15:00,516.3700,516.4100,516.3400,516.3600,1935
2024-03-13 17:10:00,516.3650,516.4100,516.3600,516.4000,7603
2024-03-13 17:05:00,516.4000,516.4000,516.3500,516.3650,2818
2024-03-13 17:00:00,516.3850,516.4100,516.3000,516.4000,6335
2024-03-13 16:55:00,516.4700,516.5000,516.3700,516.3900,46999
2024-03-13 16:50:00,516.4500,516.4900,516.4000,516.4800,9704
2024-03-13 16:45:00,516.3800,516.4400,516.3600,516.4400,17502
2024-03-13 16:40:00,516.3600,516.4000,516.3200,516.3700,3864
2024-03-13 16:35:00,516.3750,516.4100,516.3300,516.3500,65847
2024-03-13 16:30:00,516.3700,516.4200,515.9700,516.3700,89688
2024-03-13 16:25:00,516.2750,516.3700,516.2600,516.3400,31726
2024-03-13 16:20:00,516.2300,516.2900,516.1900,516.2600,25142
2024-03-13 16:15:00,516.2800,516.3000,515.9700,516.2200,202380
2024-03-13 16:10:00,515.9700,516.2800,515.9050,516.2600,4552256
2024-03-13 16:05:00,516.0250,516.1700,515.9050,516.0900,708299
2024-03-13 16:00:00,515.9900,516.1450,515.8500,516.0200,2038906
2024-03-13 15:55:00,516.0150,516.1400,515.5700,515.9900,3319600
2024-03-13 15:50:00,516.2400,516.2900,515.5600,516.0200,1434347
2024-03-13 15:45:00,515.9700,516.3100,515.7100,516.2300,1539201
2024-03-13 15:40:00,515.6850,516.1800,515.6000,515.9800,868933
2024-03-13 15:35:00,515.6900,515.7700,515.4600,515.6800,1439313
2024-03-13 15:30:00,515.1700,515.8700,515.0300,515.6900,1761868
2024-03-13 15:25:00,516.3200,516.4900,514.4900,515.1500,1988838
2024-03-13 15:20:00,516.5500,516.6200,516.3000,516.3100,980844
2024-03-13 15:15:00,516.3200,516.6950,516.2600,516.5700,790837
2024-03-13 15:10:00,516.4800,516.5250,516.1900,516.3050,733446
2024-03-13 15:05:00,516.5400,516.5500,516.2750,516.4700,448570
2024-03-13 15:00:00,516.5000,516.6300,516.4400,516.5600,537767
2024-03-13 14:55:00,516.7400,516.8290,516.4000,516.4900,439714
2024-03-13 14:50:00,516.7300,516.9400,516.7100,516.7400,504259
2024-03-13 14:45:00,516.8100,516.9000,516.6300,516.7400,448755
2024-03-13 14:40:00,516.8600,517.0450,516.7000,516.8100,799859
2024-03-13 14:35:00,516.9450,516.9900,516.7900,516.8700,414223
2024-03-13 14:30:00,516.8500,517.0300,516.8300,516.9500,279027
2024-03-13 14:25:00,516.8950,517.0100,516.7990,516.8500,273613
2024-03-13 14:20:00,516.8100,516.9750,516.7800,516.8900,725980
2024-03-13 14:15:00,516.8600,517.0300,516.7900,516.8300,229733
2024-03-13 14:10:00,516.8200,517.0400,516.7100,516.8600,507348
2024-03-13 14:05:00,516.9000,517.0600,516.8100,516.8110,329115
2024-03-13 14:00:00,517.0900,517.1900,516.8850,516.8900,251194
2024-03-13 13:55:00,517.1100,517.2800,517.0700,517.0800,318371
2024-03-13 13:50:00,516.7200,517.1800,516.6950,517.1110,275624
2024-03-13 13:45:00,516.7100,516.9900,516.6600,516.7200,284292
2024-03-13 13:40:00,516.9200,517.0680,516.6900,516.7150,188535
2024-03-13 13:35:00,516.8000,517.1200,516.7950,516.9050,256991
2024-03-13 13:30:00,517.1300,517.2900,516.7000,516.7900,499848
2024-03-13 13:25:00,517.0100,517.1700,517.0100,517.1450,320980
2024-03-13 13:20:00,516.6750,517.0400,516.6600,517.0100,364660
2024-03-13 13:15:00,517.0000,517.0700,516.6400,516.6750,654944
2024-03-13 13:10:00,517.0050,517.1900,516.9700,517.0000,387857
2024-03-13 13:05:00,516.7300,517.2100,516.7200,517.0000,762588
2024-03-13 13:00:00,516.4530,516.9600,516.3600,516.7200,968468
2024-03-13 12:55:00,516.5200,516.6000,516.3900,516.4500,159781
2024-03-13 12:50:00,516.5400,516.6800,516.4400,516.5300,225579
2024-03-13 12:45:00,516.5100,516.6650,516.5000,516.5300,230372
2024-03-13 12:40:00,516.4300,516.6400,516.3800,516.5100,303869
2024-03-13 12:35:00,516.2200,516.4700,516.1750,516.4400,222509
2024-03-13 12:30:00,516.2900,516.4500,516.0800,516.2300,643434
2024-03-13 12:25:00,516.4800,516.5810,516.2600,516.2800,270477
2024-03-13 12:20:00,516.4850,516.5590,516.4200,516.4650,240820
2024-03-13 12:15:00,516.3200,516.5300,516.3000,516.4900,310075
2024-03-13 12:10:00,516.2300,516.4990,516.1700,516.3100,379174
